CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
452,28,7,147159,4,0,0,39092,0
785,38,10,48868,2,0,0,158725,1
698,43,1,119119,4,1,1,181541,0
620,42,1,154297,4,0,0,96483,1
456,39,3,95286,4,0,0,131585,1
421,44,10,6643,2,0,1,69754,0
538,30,2,36727,2,1,1,171050,1
370,50,3,142077,2,0,1,97592,0
452,51,6,109079,4,0,0,104543,1
471,58,10,65697,2,0,0,53169,1
816,52,0,16029,4,1,0,189359,0
564,18,5,145298,1,0,0,64745,0
680,38,2,194718,4,0,0,120168,0
808,23,10,191675,3,1,1,123985,1
437,45,9,159803,2,1,0,15543,1
722,34,6,109458,2,0,0,197464,0
449,22,9,110384,3,0,0,31067,0
709,48,1,68926,4,1,1,61033,1
501,22,1,137069,1,1,1,55256,1
480,55,3,55506,3,1,1,163263,1
499,20,0,78229,3,1,0,96803,0
658,40,2,180887,4,1,1,128843,1
607,54,8,42092,2,1,1,38992,0
693,54,6,62539,4,1,1,58803,1
841,27,6,197149,3,0,0,119975,1
763,27,10,152889,3,1,1,154282,0
643,36,3,168933,2,1,0,36270,0
735,34,1,13428,2,0,0,146269,0
541,38,3,175006,2,1,1,17452,1
793,31,5,141330,4,1,0,51486,1
626,26,10,57775,2,0,1,24859,1
510,63,10,5469,3,1,0,168308,0
809,18,2,28854,3,0,1,172971,1
663,62,0,137328,1,0,1,42083,0
371,30,7,76256,4,0,1,77708,0
602,21,4,165009,1,0,0,121462,0
585,18,4,99134,3,1,1,157735,1
694,57,10,132723,1,0,0,103076,1
398,49,3,181360,3,0,1,29053,0
824,51,5,84730,1,1,0,152157,1
408,45,2,156123,2,0,0,171636,0
519,48,8,27386,1,0,1,99745,0
825,25,4,147256,2,0,1,79517,1
537,56,2,33787,2,0,1,162225,0
813,43,10,21621,4,1,1,146319,0
620,51,0,77984,2,0,1,151625,1
539,20,9,190864,2,1,0,161883,0
795,29,5,176325,1,1,1,147207,0
524,18,1,34051,3,0,1,146645,0
795,61,2,49811,4,0,0,89267,0
400,22,0,30447,2,0,1,148261,0
713,47,8,128046,4,0,1,90077,0
404,47,7,161326,1,1,0,184718,0
